,name1,name2,pearsonr correlation,pearsonr p,spearmanr correlation,spearmanr p,total data,not null data,top3
0,BFE,co-conservation,0.5109325194887053,0.009052913160502992,0.5576923076923077,0.003772754204572151,28,25,"B.1.1.519(7.97),B.1.351(Beta)(7.92),A.23.1+E484K(7.62)"
1,BFE,edge centrality,0.1022689381392504,0.6266520251025642,-0.30665642900926615,0.1359676428167439,28,25,"B.1.1.519(7.97),B.1.351(Beta)(7.92),A.23.1+E484K(7.62)"
2,stability,co-conservation,-0.30265705502229634,0.11747337000560716,-0.3013698630136986,0.11911943284091363,28,28,"C.37(Lambda)(-1.75),C.1.2(-1.36),B.1.525(Eta)(-1.11)"
3,stability,edge centrality,-0.5732610159885174,0.0014285522144686798,0.13729789498851339,0.485991003036236,28,28,"C.37(Lambda)(-1.75),C.1.2(-1.36),B.1.525(Eta)(-1.11)"
