,name1,name2,pearsonr correlation,pearsonr p,spearmanr correlation,spearmanr p,total data,not null data,top3
0,BFE,co-conservation,0.2723723017410208,0.00010359914921308433,0.23250223296485847,0.0009801258757229344,235,198,"D215G-D614G(8.05),S371F-D614G(7.99),D614G-T732A(7.97)"
1,BFE,edge centrality,0.11700637417243205,0.10066361334994618,-0.19364095972894246,0.006267680212172997,235,198,"D215G-D614G(8.05),S371F-D614G(7.99),D614G-T732A(7.97)"
2,stability,co-conservation,0.12457421226735528,0.056528566259711685,0.10936088428435277,0.09441562156671728,235,235,"T95I-G142D(-2.98),G142D-N501Y(-2.88),P9L-T859N(-2.87)"
3,stability,edge centrality,-0.08271014015816679,0.2064715812363646,-0.13277747483144833,0.04199199213651153,235,235,"T95I-G142D(-2.98),G142D-N501Y(-2.88),P9L-T859N(-2.87)"
